country,year,decade,renewables_pct,fossil_pct,gdp_per_capita,log_gdp_per_capita,energy_consumption
Bangladesh,2003,2000,1.353,98.647,1718.9847740824657,7.449489147916319,165.108
Bangladesh,2004,2000,1.233,98.767,1822.0261184981068,7.507704412787469,175.497
Bangladesh,2005,2000,1.123,98.877,1936.653507310111,7.568716766306283,190.247
Bangladesh,2006,2000,1.051,98.949,2071.3322653214245,7.635947285669087,205.884
Bangladesh,2007,2000,1.037,98.963,2210.109484293599,7.7007973336890565,211.754
Bangladesh,2008,2000,1.224,98.776,2337.93688015082,7.7570241442983825,222.951
Bangladesh,2009,2000,0.513,99.487,2470.2330331149265,7.812067770562435,245.344
Bangladesh,2010,2010,0.834,99.166,2628.663607998577,7.874230862187215,251.074
Bangladesh,2011,2010,0.995,99.005,2808.878750740424,7.9405406616088765,271.629
Bangladesh,2012,2010,0.846,99.154,2956.447555476681,7.99174367638435,295.028
Bangladesh,2013,2010,0.813,99.187,3105.6578459602424,8.040980838580872,306.577
Bangladesh,2014,2010,0.686,99.314,3271.573003238295,8.093026188973946,318.558
Bangladesh,2015,2010,0.793,99.207,3464.008727395254,8.150181789135056,385.102
Bangladesh,2016,2010,0.74,99.26,3668.4630024473186,8.207528052904152,386.701
Bangladesh,2017,2010,0.857,99.143,3890.331128560142,8.266249556012905,402.965
Bangladesh,2018,2010,0.708,99.292,4151.7824193398865,8.331293019652723,430.288
Bangladesh,2019,2010,0.64,99.36,4349.0466765579395,8.377711945250537,482.562
Bangladesh,2020,2020,0.653,99.347,4536.183587388868,8.419841317998806,457.447
Bangladesh,2021,2020,0.671,99.329,4815.184962607552,8.479529737327777,492.47
Bangladesh,2022,2020,0.693,99.307,5066.236439093024,8.530353501224013,512.174
Belarus,1985,1980,0.014,99.986,11041.548059247496,9.30942053275872,408.044
Belarus,1986,1980,0.012,99.988,11274.78242151941,9.330323866758466,465.838
Belarus,1987,1980,0.012,99.988,11341.747533508962,9.336245668893056,472.619
Belarus,1988,1980,0.012,99.988,11244.50450995663,9.327634800279577,479.405
Belarus,1989,1980,0.012,99.988,11922.624837689647,9.386193120882053,463.661
Belarus,1990,1990,0.012,99.988,11483.595546077862,9.348674821714264,465.973
Belarus,1991,1990,0.011,99.989,11183.71449571405,9.322213936225186,464.906
Belarus,1992,1990,0.012,99.988,9971.14611089672,9.207450812306499,404.953
Belarus,1993,1990,0.016,99.984,9085.763264110486,9.114463990962355,337.871
Belarus,1994,1990,0.019,99.981,7938.527387215471,8.979483069434833,282.204
Belarus,1995,1990,0.022,99.978,6999.125247487955,8.85354045558414,250.706
Belarus,1996,1990,0.017,99.983,7133.407916843967,8.872544367919506,257.138
Belarus,1997,1990,0.022,99.978,7890.257983287503,8.973384110806952,260.101
Belarus,1998,1990,0.031,99.969,8491.820659805355,9.04685870387727,254.351
Belarus,1999,1990,0.021,99.979,8711.334292869935,9.07238024902905,247.417
Belarus,2000,2000,0.029,99.971,9149.862676165589,9.12149415008761,254.999
Belarus,2001,2000,0.033,99.967,9521.37971867369,9.161295045716411,247.911
Belarus,2002,2000,0.031,99.969,9952.271928730897,9.205556138634092,256.476
Belarus,2003,2000,0.03,99.97,10602.469670999446,9.268842240792846,254.552
Belarus,2004,2000,0.032,99.968,11760.18100307044,9.372474612751725,285.033
Belarus,2005,2000,0.035,99.965,12811.35819691962,9.458087415571686,284.106
Belarus,2006,2000,0.034,99.966,14016.795158555215,9.548011543769817,302.112
Belarus,2007,2000,0.047,99.953,15122.204232503253,9.623919421681244,294.727
